Building Address,"Building Type
(Office Building, Hotel, Retail Building, Mixed Development)","Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Green Mark Rating,Green Mark Year of Award,"Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Gross Floor Area (m2),"2015 Energy Use Intensity (EUI)
(kWh/m2.yr) ","2016 
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ",Voluntary Disclosure,postal_code,lat,lon,plan_area
"18 CROSS STREET, SINGAPORE 048423",Office,Yes,Gold,2016.0,Large,62469.0,214.0,188,Y,048423,1.28355426127583,103.846882908595,OUTRAM
"1 MARITIME SQUARE, SINGAPORE 099253",Office,Yes,Platinum,2014.0,Large,169727.0,247.0,245,Y,099253,1.26447844519217,103.820315193363,BUKIT MERAH
"5 MAXWELL ROAD, SINGAPORE 069110",Office,No,,,Large,84229.0,154.0,140,Y,069110,1.27904432386962,103.845635156718,DOWNTOWN CORE
"1 PICKERING STREET, SINGAPORE 048659",Office,Yes,Certified,2010.0,Large,43006.0,198.0,202,Y,048659,1.28483659689019,103.847649788426,OUTRAM
"180 CLEMENCEAU AVENUE, SINGAPORE 239922",Office,No,,,Large,16519.0,173.0,201,Y,239922,1.29726870983076,103.844126221921,MUSEUM
"10 HOE CHIANG ROAD, SINGAPORE 089315",Office,Yes,Gold,2010.0,Large,52945.0,147.0,159,Y,089315,1.27440248919531,103.842238244254,DOWNTOWN CORE
"75 SCIENCE PARK DRIVE, SINGAPORE 118255",Office,No,,,Large,54211.0,854.0,852,Y,118255,1.29005640233779,103.789990399181,QUEENSTOWN
"16 COLLEGE ROAD, SINGAPORE 169854",Office,No,,,Large,17137.0,118.0,119,Y,169854,1.28047518236571,103.833698843981,BUKIT MERAH
"12 SCIENCE PARK DRIVE, SINGAPORE 118225",Office,Yes,GoldPlus,2013.0,Large,75269.0,92.0,156,Y,118225,1.28959031017024,103.786921106765,QUEENSTOWN
"9 RAFFLES PLACE, SINGAPORE 048619",Office,Yes,Platinum,2014.0,Large,102356.0,245.0,243,Y,048619,1.28348363276903,103.850574036014,DOWNTOWN CORE
"80 ANSON ROAD, SINGAPORE 079907",Office,Yes,Platinum,2013.0,Large,48688.0,186.0,181,Y,079907,1.27311737895546,103.843586446705,DOWNTOWN CORE
"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Yes,Platinum,2014.0,Large,15769.0,211.0,197,Y,059567,1.28842848666711,103.84230028531,SINGAPORE RIVER
"80 MARINE PARADE ROAD, SINGAPORE 449269",Office,Yes,Platinum,2016.0,Large,99012.0,330.0,333,Y,449269,1.30115259939855,103.905281816778,MARINE PARADE
"1 PARLIAMENT PLACE, SINGAPORE 178880",Office,Yes,Platinum,2015.0,Large,19765.0,130.0,134,Y,178880,1.28881003163657,103.850349009573,DOWNTOWN CORE
"152 BEACH ROAD, SINGAPORE 189721",Office,No,,,Large,70526.0,312.0,317,Y,189721,1.29881253234423,103.859342322482,DOWNTOWN CORE
"1 SCIENCE PARK DRIVE, SINGAPORE 118221",Office,No,,,Large,32079.0,323.0,340,Y,118221,1.29186792886862,103.785634649638,QUEENSTOWN
"140 HILL STREET, SINGAPORE 179369",Office,No,,,Large,26137.0,230.0,235,Y,179369,1.29097101454992,103.848283433386,MUSEUM
"1500 BENDEMEER ROAD, SINGAPORE 339946",Office,Yes,Platinum,2016.0,Large,27069.0,137.0,135,Y,339946,1.32614386394012,103.869092979661,KALLANG
"18 HAVELOCK ROAD, SINGAPORE 059764",Office,Yes,Platinum,2014.0,Large,32034.0,140.0,133,Y,059764,1.28754261569163,103.844071679954,SINGAPORE RIVER
"133 CECIL STREET, SINGAPORE 069535",Office,No,,,Large,16122.0,162.0,163,Y,069535,1.28023616419184,103.849000148073,DOWNTOWN CORE
"1 RAFFLES LINK, SINGAPORE 039393",Office,Yes,GoldPlus,2014.0,Large,30461.0,527.0,518,Y,039393,1.2920291636627,103.855879205641,DOWNTOWN CORE
"300 BEACH ROAD, SINGAPORE 199555",Office,Yes,Platinum,2013.0,Large,62932.0,125.0,126,Y,199555,1.30104742257427,103.862626110668,DOWNTOWN CORE
"371 ALEXANDRA ROAD, SINGAPORE 159963",Office,No,,,Large,17828.0,293.0,287,Y,159963,1.28473749728194,103.802575200723,BUKIT MERAH
"101 JALAN BAHAR, SINGAPORE 649734",Office,No,,,Large,38978.0,126.0,128,Y,649734,1.36733776396496,103.692104143231,WESTERN WATER CATCHMENT
"91 UBI AVENUE 4, SINGAPORE 408827",Office,No,,,Large,49327.0,168.0,171,Y,408827,1.33427294506964,103.893120901028,GEYLANG
"1 SHERWOOD ROAD, SINGAPORE 248163",Office,Yes,Gold,2014.0,Large,35533.0,260.0,249,Y,248163,1.30403314416732,103.817387551265,TANGLIN
"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Office,Yes,GoldPlus,2009.0,Large,41135.0,129.0,120,Y,609935,1.32760824365397,103.749219232772,JURONG EAST
"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",Office,No,,,Large,28378.0,163.0,142,Y,609927,1.32702482428064,103.748355514202,JURONG EAST
"80 ROBINSON ROAD, SINGAPORE 068898",Office,No,,,Large,31031.0,227.0,201,Y,068898,1.28013746997584,103.849316412731,DOWNTOWN CORE
"10 TOH GUAN ROAD, SINGAPORE 608838",Office,No,,,Large,50000.0,141.0,160,Y,608838,1.33225990249213,103.748074842021,JURONG EAST
"11 BRANI WAY, SINGAPORE 098658",Office,No,,,Large,42982.0,229.0,241,Y,098658,1.25776417588652,103.831774474826,BUKIT MERAH
"90 GOODMAN ROAD, SINGAPORE 439053",Office,No,,,Large,16153.0,114.0,112,Y,439053,1.30451422113193,103.884556247496,MARINE PARADE
"9 TAMPINES GRANDE, SINGAPORE 528735",Office,Yes,Platinum,2015.0,Large,33599.0,182.0,181,Y,528735,1.35571330189513,103.941302004065,TAMPINES
"100 HIGH STREET, SINGAPORE 179434",Office,Yes,Gold,2009.0,Large,41499.0,155.0,153,Y,179434,1.29067063202429,103.849819680672,DOWNTOWN CORE
"ORCHARD ROAD, SINGAPORE 238823",Office,No,,,Large,21521.0,148.0,160,Y,238823,1.30706679716097,103.843263772261,NEWTON
"143 CECIL STREET, SINGAPORE 069542",Office,No,,,Large,17306.0,189.0,187,Y,069542,1.27875862730082,103.848069533957,DOWNTOWN CORE
"16 COLLYER QUAY, SINGAPORE 049318",Office,No,,,Large,38596.0,252.0,253,Y,049318,1.28424248541962,103.852502853417,DOWNTOWN CORE
"20 UPPER CIRCULAR ROAD, SINGAPORE 058416",Office,No,,,Large,30281.0,161.0,160,Y,058416,1.28897209658289,103.848459830887,SINGAPORE RIVER
"24 RAFFLES PLACE, SINGAPORE 048621",Office,No,,,Large,37281.0,265.0,266,Y,048621,1.28385698427206,103.852128173355,DOWNTOWN CORE
"50 RAFFLES PLACE, SINGAPORE 048623",Office,No,,,Large,64277.0,321.0,279,Y,048623,1.28466506848636,103.852127483288,DOWNTOWN CORE
"79 ROBINSON ROAD, SINGAPORE 068897",Office,No,,,Large,45281.0,187.0,142,Y,068897,1.27714402952808,103.848055820236,DOWNTOWN CORE
"1 TAMPINES CENTRAL 5, SINGAPORE 529508",Office,No,,,Large,15551.0,347.0,397,Y,529508,1.35311433690453,103.943702415776,TAMPINES
"438 ALEXANDRA ROAD, SINGAPORE 119958",Office,Yes,Platinum,2014.0,Large,24895.0,130.0,129,Y,119958,1.27728139056494,103.802084103537,QUEENSTOWN
"63 MARKET STREET, SINGAPORE 048942",Office,No,,,Large,18275.0,423.0,442,Y,048942,1.28429423831109,103.850618904219,DOWNTOWN CORE
"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Office,Yes,Platinum,2015.0,Large,28421.0,112.0,117,Y,609916,1.32519951668053,103.746377193352,JURONG EAST
"77 ROBINSON ROAD, SINGAPORE 068896",Office,No,,,Large,29961.0,236.0,230,Y,068896,1.27775258405306,103.848429019412,DOWNTOWN CORE
"307 ALEXANDRA ROAD, SINGAPORE 159943",Office,Yes,Platinum,2014.0,Large,16654.0,100.0,97,Y,159943,1.28907911938054,103.806882580794,BUKIT MERAH
"47 SCOTTS ROAD, SINGAPORE 228233",Office,No,,,Large,17815.0,245.0,234,Y,228233,1.31234735547871,103.837084701945,NEWTON
"40 SCOTTS ROAD, SINGAPORE 228231",Office,Yes,Platinum,2014.0,Large,49021.0,136.0,142,Y,228231,1.31076510269125,103.836394081433,NEWTON
"200 CANTONMENT ROAD, SINGAPORE 089763",Office,No,,,Large,33736.0,174.0,176,Y,089763,1.27342504453311,103.841261971386,BUKIT MERAH
"10 WOODLANDS AVENUE 8, SINGAPORE 738973",Office,Yes,Platinum,2014.0,Large,20175.0,41.0,42,Y,738973,1.45428714079221,103.800262079753,WOODLANDS
"600 NORTH BRIDGE ROAD, SINGAPORE 188778",Office,No,,,Large,39149.0,230.0,209,Y,188778,1.30019557614724,103.857615311375,DOWNTOWN CORE
"512 THOMSON ROAD, SINGAPORE 298136",Office,No,,,Large,19761.0,188.0,187,Y,298136,1.33371661741466,103.839419153542,TOA PAYOH
"200 BRADDELL ROAD, SINGAPORE 579700",Office,Yes,Platinum,2014.0,Large,53422.0,44.0,43,Y,579700,1.34446838396585,103.858721835904,BISHAN
"2 SHENTON WAY, SINGAPORE 068804",Office,No,,,Large,29964.0,290.0,312,Y,068804,1.27938886508381,103.849846148733,DOWNTOWN CORE
"4 SHENTON WAY, SINGAPORE 068807",Office,No,,,Large,29964.0,331.0,335,Y,068807,1.27927719519315,103.849796993929,DOWNTOWN CORE
"6 RAFFLES QUAY, SINGAPORE 048580",Office,No,,,Large,16105.0,269.0,260,Y,048580,1.28181247914636,103.85138450513,DOWNTOWN CORE
"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",Office,No,,,Large,137488.0,137.0,136,Y,698928,1.37193281298228,103.720857409391,WESTERN WATER CATCHMENT
"10 PASIR PANJANG ROAD, SINGAPORE 117438",Office,Yes,Platinum,2013.0,Large,184324.0,179.0,177,Y,117438,1.27457425218392,103.79898592539,QUEENSTOWN
"10 KALLANG ROAD, SINGAPORE 208718",Office,No,,,Large,37819.0,348.0,345,Y,208718,1.30663469653195,103.862772815008,KALLANG
